"g1_geneID","g1_geneName","g1_geneType","XIST_r","XIST_perct","ttl_pos_r","ttl_neg_r","cor_bias"
"ENSG00000134255.16","CEPT1","protein_coding",-0.034337652807815,5.46925566343042,7,0,7
"ENSG00000134308.14","YWHAQ","protein_coding",0.0619701565551903,28.1715210355987,6,4,2
"ENSG00000134371.15","CDC73","protein_coding",0.217741549779715,77.7508090614887,1,1,0
"ENSG00000134602.16","STK26","protein_coding",0.218710316098888,77.9611650485437,3,0,3
"ENSG00000134644.16","PUM1","protein_coding",0.12277311810052,48.495145631068,1,5,-4
"ENSG00000134802.18","SLC43A3","protein_coding",0.110705761133429,44.1585760517799,5,0,5
"ENSG00000134851.13","TMEM165","protein_coding",0.201662233087781,73.495145631068,8,0,8
"ENSG00000134852.15","CLOCK","protein_coding",0.261489404271915,86.4724919093851,8,0,8
"ENSG00000134987.13","WDR36","protein_coding",0.115214437046477,45.7928802588997,5,0,5
"ENSG00000135018.14","UBQLN1","protein_coding",0.026874061432284,18.0906148867314,2,2,0
"ENSG00000135316.20","SYNCRIP","protein_coding",0.103416301777161,41.8770226537217,2,0,2
"ENSG00000135336.17","ORC3","protein_coding",0.0733367658690614,31.6990291262136,3,1,2
"ENSG00000135624.17","CCT7","protein_coding",0.0891833874133351,37.3624595469256,4,3,1
"ENSG00000135655.16","USP15","protein_coding",0.0990146024174872,40.6472491909385,2,3,-1
"ENSG00000135829.17","DHX9","protein_coding",0.103255127118872,41.8122977346278,0,0,0
"ENSG00000135932.12","CAB39","protein_coding",0.149609398990203,58.0097087378641,5,1,4
"ENSG00000135976.21","ANKRD36","protein_coding",0.184498895494676,68.4304207119741,8,1,7
"ENSG00000136167.15","LCP1","protein_coding",0.194416526965796,71.2459546925566,1,1,0
"ENSG00000136231.14","IGF2BP3","protein_coding",0.161971627186058,62.168284789644,8,5,3
"ENSG00000136536.15","MARCHF7","protein_coding",0.204986493394251,74.4498381877023,6,1,5
"ENSG00000136628.18","EPRS1","protein_coding",0.0248877430036063,17.4271844660194,2,1,1
"ENSG00000136930.13","PSMB7","protein_coding",-0.0612032047989548,2.75080906148867,1,2,-1
"ENSG00000136932.16","TRMO","protein_coding",0.0767453406955312,32.8802588996764,6,3,3
"ENSG00000136937.13","NCBP1","protein_coding",0.146082532889408,56.9093851132686,3,6,-3
"ENSG00000136938.9","ANP32B","protein_coding",0.194997614954986,71.4563106796116,5,2,3
"ENSG00000137177.20","KIF13A","protein_coding",0.270346736683049,87.7346278317152,4,1,3
"ENSG00000137575.12","SDCBP","protein_coding",0.15030855141719,58.2847896440129,4,0,4
"ENSG00000137824.16","RMDN3","protein_coding",0.170645762117914,64.6278317152104,11,4,7
"ENSG00000137834.15","SMAD6","protein_coding",0.218788815307098,77.9773462783172,1,1,0
"ENSG00000137845.15","ADAM10","protein_coding",0.131470274304546,51.7152103559871,2,1,1
"ENSG00000137947.12","GTF2B","protein_coding",-0.00165147248885335,10.8090614886731,4,1,3
"ENSG00000138078.16","PREPL","protein_coding",0.187258100948899,69.2233009708738,2,0,2
"ENSG00000138092.11","CENPO","protein_coding",0.180554185837078,67.2491909385113,2,2,0
"ENSG00000138346.16","DNA2","protein_coding",0.0739403166275068,31.9902912621359,3,0,3
"ENSG00000138674.17","SEC31A","protein_coding",0.282304622860607,89.5307443365696,4,8,-4
"ENSG00000138756.19","BMP2K","protein_coding",0.306692735548853,92.7508090614887,3,0,3
"ENSG00000138758.12","SEPTIN11","protein_coding",0.270857692235067,87.8964401294498,3,3,0
"ENSG00000138834.15","MAPK8IP3","protein_coding",0.393364372903403,98.3009708737864,18,8,10
"ENSG00000139146.14","SINHCAF","protein_coding",0.119004296640685,47.1521035598705,5,1,4
"ENSG00000139624.14","CERS5","protein_coding",0.220158062150132,78.3171521035599,2,7,-5
"ENSG00000139722.7","VPS37B","protein_coding",0.190433601566895,70.1779935275081,7,3,4
"ENSG00000140350.15","ANP32A","protein_coding",0.292088318565999,90.8414239482201,0,4,-4
"ENSG00000140455.17","USP3","protein_coding",0.334101492152042,95.1618122977346,8,4,4
"ENSG00000140612.14","SEC11A","protein_coding",0.000783710502404218,11.3106796116505,1,1,0
"ENSG00000141002.20","TCF25","protein_coding",0.333370423710375,95.1132686084142,15,4,11
"ENSG00000141013.17","GAS8","protein_coding",0.15078173150878,58.5113268608414,6,12,-6
"ENSG00000141551.15","CSNK1D","protein_coding",0.25028064773822,84.4822006472492,24,7,17
"ENSG00000141562.19","NARF","protein_coding",0.230024356300198,80.7119741100324,22,2,20
"ENSG00000142207.7","URB1","protein_coding",0.148711607563988,57.7508090614887,4,2,2
"ENSG00000142657.21","PGD","protein_coding",0.112523283586521,44.8543689320388,7,2,5
"ENSG00000143067.5","ZNF697","protein_coding",0.0810716096881101,34.336569579288,6,1,5
"ENSG00000143514.18","TP53BP2","protein_coding",0.3420031071726,95.6148867313916,3,0,3
"ENSG00000143799.14","PARP1","protein_coding",0.0988454696873892,40.5663430420712,2,5,-3
"ENSG00000143815.15","LBR","protein_coding",0.228206106147348,80.3721682847896,2,4,-2
"ENSG00000144468.17","RHBDD1","protein_coding",0.410362555662803,98.8187702265372,6,0,6
"ENSG00000144659.13","SLC25A38","protein_coding",0.0634025344333161,28.6407766990291,4,0,4
"ENSG00000145014.18","TMEM44","protein_coding",0.297117086353907,91.5210355987055,4,1,3
"ENSG00000145476.16","CYP4V2","protein_coding",-0.00997128761505782,9.41747572815534,6,0,6
"ENSG00000145604.17","SKP2","protein_coding",0.208306785338431,75.2265372168285,3,2,1
