"g1_geneID","g1_geneName","g1_geneType","NEAT1_r","NEAT1_perct","ttl_pos_r","ttl_neg_r","cor_bias"
"ENSG00000232725.2","PLXNB3-AS1","lncRNA",0.411795299140187,74.3560295324036,2,0,2
"ENSG00000233098.11","CCDC144NL-AS1","lncRNA",0.242423815341391,44.6267432321575,0,0,0
"ENSG00000244300.4","GATA2-AS1","lncRNA",0.672381795995445,98.9499589827728,2,3,-1
"ENSG00000245532.12","NEAT1","lncRNA",1,100,1,6,-5
"ENSG00000248275.5","TRIM52-AS1","lncRNA",0.508789776995909,87.0877768662838,7,1,6
"ENSG00000267265.7","GP6-AS1","lncRNA",0.646154543643288,98.0311730926989,13,2,11
"ENSG00000269335.7","IKBKG","protein_coding",0.529341436285986,89.7785069729286,13,2,11
"ENSG00000288922.3","ENSG00000288922","lncRNA",NA,NA,14,0,14
"ENSG00000290606.3","ENSG00000290606","lncRNA",0.456420316237135,80.9187858900738,1,0,1
"ENSG00000290796.1","ENSG00000290796","lncRNA",0.536078377343846,90.5168170631665,7,0,7
"ENSG00000290823.2","ENSG00000290823","lncRNA",0.494597189878526,85.4963084495488,0,0,0
"ENSG00000290948.2","ENSG00000290948","lncRNA",0.379350707971716,69.1878589007383,8,0,8
"ENSG00000291015.2","ENSG00000291015","lncRNA",0.612035596454775,96.7514356029532,11,3,8
"ENSG00000291136.2","RABGEF1P1","lncRNA",0.25863673883336,47.940935192781,6,0,6
