"category","splice","hmseekrunique_lensum","nonsig_lensum","funcdomain","pthreshold","fisherp","fisherp_bias","sigperct","perct_diff"
"activator","unspliced",1393,14837,"NEAT1chk21","p0.05",1.76477963886975e-09,"repressor",8.58287122612446,-1.93944263010763
"repressor","unspliced",1799,15298,"NEAT1chk21","p0.05",1.76477963886975e-09,"repressor",10.5223138562321,-1.93944263010763
"activator","spliced",27,772,"NEAT1chk21","p0.05",6.5875364059735e-14,"repressor",3.37922403003755,-8.87243159910153
"repressor","spliced",185,1325,"NEAT1chk21","p0.05",6.5875364059735e-14,"repressor",12.2516556291391,-8.87243159910153
"activator","unspliced",905,15324,"NEAT1chk22","p0.05",4.5823645869387e-22,"repressor",5.57643724197424,-2.68232160460703
"repressor","unspliced",1412,15685,"NEAT1chk22","p0.05",4.5823645869387e-22,"repressor",8.25875884658127,-2.68232160460703
"activator","spliced",104,695,"NEAT1chk22","p0.05",0.386182456768271,"",13.0162703379224,1.22819086772373
"repressor","spliced",178,1332,"NEAT1chk22","p0.05",0.386182456768271,"",11.7880794701987,1.22819086772373
"activator","unspliced",762,15467,"NEAT1chk3","p0.05",0.00130053968978532,"repressor",4.69529853965124,-0.779025942744361
"repressor","unspliced",936,16162,"NEAT1chk3","p0.05",0.00130053968978532,"repressor",5.4743244823956,-0.779025942744361
"activator","spliced",35,764,"NEAT1chk3","p0.05",0.102234540886968,"",4.38047559449312,-1.64601447173205
"repressor","spliced",91,1419,"NEAT1chk3","p0.05",0.102234540886968,"",6.02649006622517,-1.64601447173205
"activator","unspliced",5349,10881,"NEAT1chk4","p0.05",0.20922392587201,"",32.9574861367837,-0.64878360236704
"repressor","unspliced",5746,11352,"NEAT1chk4","p0.05",0.20922392587201,"",33.6062697391508,-0.64878360236704
"activator","spliced",145,654,"NEAT1chk4","p0.05",2.61835125173652e-05,"repressor",18.1476846057572,-7.74635512934214
"repressor","spliced",391,1119,"NEAT1chk4","p0.05",2.61835125173652e-05,"repressor",25.8940397350993,-7.74635512934214
"activator","unspliced",554,15676,"NEAT1chk5","p0.05",0.247231101242208,"",3.41343191620456,-0.236117738725842
"repressor","unspliced",624,16474,"NEAT1chk5","p0.05",0.247231101242208,"",3.6495496549304,-0.236117738725842
"activator","spliced",12,787,"NEAT1chk5","p0.05",0.000457125957861716,"repressor",1.50187734668335,-2.60408291821731
"repressor","spliced",62,1448,"NEAT1chk5","p0.05",0.000457125957861716,"repressor",4.10596026490066,-2.60408291821731
"activator","unspliced",248,15981,"NEAT1chk6","p0.05",5.7459537672842e-06,"repressor",1.52812865857416,-0.67693655754563
"repressor","unspliced",377,16720,"NEAT1chk6","p0.05",5.7459537672842e-06,"repressor",2.20506521611979,-0.67693655754563
"activator","spliced",3,795,"NEAT1chk6","p0.05",2.79657143647425e-06,"repressor",0.37593984962406,-2.73664293183289
"repressor","spliced",47,1463,"NEAT1chk6","p0.05",2.79657143647425e-06,"repressor",3.11258278145695,-2.73664293183289
"activator","unspliced",5691,10539,"NEAT1chk7","p0.05",0.000115199212649912,"repressor",35.0646950092421,-2.03321117861609
"repressor","unspliced",6343,10755,"NEAT1chk7","p0.05",0.000115199212649912,"repressor",37.0979061878582,-2.03321117861609
"activator","spliced",137,662,"NEAT1chk7","p0.05",7.98717516041297e-06,"repressor",17.1464330413016,-8.08535503816857
"repressor","spliced",381,1129,"NEAT1chk7","p0.05",7.98717516041297e-06,"repressor",25.2317880794702,-8.08535503816857
"activator","unspliced",514,15716,"NEAT1chk8","p0.05",4.08678926537775e-08,"repressor",3.16697473813925,-1.14347092802054
"repressor","unspliced",737,16361,"NEAT1chk8","p0.05",4.08678926537775e-08,"repressor",4.31044566615978,-1.14347092802054
"activator","spliced",6,793,"NEAT1chk8","p0.05",2.21023851481254e-07,"repressor",0.750938673341677,-3.61992225381064
"repressor","spliced",66,1444,"NEAT1chk8","p0.05",2.21023851481254e-07,"repressor",4.37086092715232,-3.61992225381064
"activator","unspliced",6346,9883,"NEAT1chk9","p0.05",0.121948708625972,"",39.1028405939984,-0.83165466860541
"repressor","unspliced",6828,10270,"NEAT1chk9","p0.05",0.121948708625972,"",39.9344952626038,-0.83165466860541
"activator","spliced",183,616,"NEAT1chk9","p0.05",0.141679108530313,"",22.9036295369212,-2.85795986705236
"repressor","spliced",389,1121,"NEAT1chk9","p0.05",0.141679108530313,"",25.7615894039735,-2.85795986705236
"activator","unspliced",172,16058,"NKILA-SRSFNRE","p0.05",0.625160229458092,"",1.05976586568084,0.0596488929354877
"repressor","unspliced",171,16927,"NKILA-SRSFNRE","p0.05",0.625160229458092,"",1.00011697274535,0.0596488929354877
"activator","spliced",21,778,"NKILA-SRSFNRE","p0.05",0.118925085195086,"",2.62828535669587,0.972656217623022
"repressor","spliced",25,1485,"NKILA-SRSFNRE","p0.05",0.118925085195086,"",1.65562913907285,0.972656217623022
"activator","unspliced",239,15990,"NXF1-enChr","p0.05",0.963793400506961,"",1.47267237660977,-0.00703285207194448
"repressor","unspliced",253,16845,"NXF1-enChr","p0.05",0.963793400506961,"",1.47970522868172,-0.00703285207194448
"activator","spliced",26,772,"NXF1-enChr","p0.05",0.514703563874707,"",3.25814536340852,0.542913575329051
"repressor","spliced",41,1469,"NXF1-enChr","p0.05",0.514703563874707,"",2.71523178807947,0.542913575329051
"activator","unspliced",62,16168,"PRRX2-eRNA","p0.05",1,"",0.382008626001232,-0.00400143365486783
"repressor","unspliced",66,17032,"PRRX2-eRNA","p0.05",1,"",0.3860100596561,-0.00400143365486783
"activator","spliced",1,798,"PRRX2-eRNA","p0.05",0.433256310176122,"",0.125156445556946,-0.272194547820537
"repressor","spliced",6,1504,"PRRX2-eRNA","p0.05",0.433256310176122,"",0.397350993377483,-0.272194547820537
"activator","unspliced",57,16172,"PVT1-22","p0.05",0.00845979999478118,"activator",0.35122311910777,0.152369452012203
"repressor","unspliced",34,17064,"PVT1-22","p0.05",0.00845979999478118,"activator",0.198853667095567,0.152369452012203
"activator","spliced",3,795,"PVT1-22","p0.05",0.348002269407702,"",0.37593984962406,0.243489518498232
"repressor","spliced",2,1508,"PVT1-22","p0.05",0.348002269407702,"",0.132450331125828,0.243489518498232
"activator","unspliced",360,15869,"SEMA3C-eRNA","p0.05",2.93776490140691e-05,"repressor",2.21825127857539,-0.729461904253011
"repressor","unspliced",504,16594,"SEMA3C-eRNA","p0.05",2.93776490140691e-05,"repressor",2.9477131828284,-0.729461904253011
"activator","spliced",14,784,"SEMA3C-eRNA","p0.05",0.301545693782891,"",1.75438596491228,-0.695945160915534
"repressor","spliced",37,1473,"SEMA3C-eRNA","p0.05",0.301545693782891,"",2.45033112582781,-0.695945160915534
"activator","unspliced",1517,14712,"XIST-PfIMI","p0.05",0.000408017723696573,"repressor",9.3474644155524,-1.16315148197348
"repressor","unspliced",1797,15300,"XIST-PfIMI","p0.05",0.000408017723696573,"repressor",10.5106158975259,-1.16315148197348
"activator","spliced",61,737,"XIST-PfIMI","p0.05",0.124939761176358,"",7.64411027568922,-1.95853873093329
"repressor","spliced",145,1365,"XIST-PfIMI","p0.05",0.124939761176358,"",9.60264900662252,-1.95853873093329
"activator","unspliced",770,15459,"XISTint1","p0.05",0.0954671843796799,"",4.74459301250847,-0.396359145638679
"repressor","unspliced",879,16219,"XISTint1","p0.05",0.0954671843796799,"",5.14095215814715,-0.396359145638679
"activator","spliced",26,772,"XISTint1","p0.05",0.514703563874707,"",3.25814536340852,0.542913575329051
"repressor","spliced",41,1469,"XISTint1","p0.05",0.514703563874707,"",2.71523178807947,0.542913575329051
"activator","unspliced",236,15993,"XISTint10","p0.05",0.00521906239122374,"repressor",1.45418694928831,-0.393982427246956
"repressor","unspliced",316,16782,"XISTint10","p0.05",0.00521906239122374,"repressor",1.84816937653527,-0.393982427246956
"activator","spliced",16,782,"XISTint10","p0.05",0.217083200843547,"",2.00501253132832,-0.908894753439891
"repressor","spliced",44,1466,"XISTint10","p0.05",0.217083200843547,"",2.91390728476821,-0.908894753439891
"activator","unspliced",5854,10376,"XISTint11","p0.05",0.000258801678662015,"repressor",36.0690080098583,-1.93765982660425
"repressor","unspliced",6498,10599,"XISTint11","p0.05",0.000258801678662015,"repressor",38.0066678364625,-1.93765982660425
"activator","spliced",176,622,"XISTint11","p0.05",1.29704087956671e-16,"repressor",22.0551378446115,-16.8190343408189
"repressor","spliced",587,923,"XISTint11","p0.05",1.29704087956671e-16,"repressor",38.8741721854305,-16.8190343408189
"activator","unspliced",4953,11276,"XISTint12","p0.05",6.07565469477356e-12,"repressor",30.5194405077331,-3.52547702648146
"repressor","unspliced",5821,11277,"XISTint12","p0.05",6.07565469477356e-12,"repressor",34.0449175342145,-3.52547702648146
"activator","spliced",129,670,"XISTint12","p0.05",1.37522318403756e-20,"repressor",16.1451814768461,-17.7621032913659
"repressor","spliced",512,998,"XISTint12","p0.05",1.37522318403756e-20,"repressor",33.9072847682119,-17.7621032913659
"activator","unspliced",5315,10915,"XISTint13","p0.05",0.000137696157069835,"repressor",32.7479975354282,-1.9773928839436
"repressor","unspliced",5937,11160,"XISTint13","p0.05",0.000137696157069835,"repressor",34.7253904193718,-1.9773928839436
"activator","spliced",169,629,"XISTint13","p0.05",3.69522216603818e-05,"repressor",21.1779448621554,-7.89490281996382
"repressor","spliced",439,1071,"XISTint13","p0.05",3.69522216603818e-05,"repressor",29.0728476821192,-7.89490281996382
"activator","unspliced",4709,11521,"XISTint14","p0.05",2.4750603393401e-05,"repressor",29.0141712877388,-2.12397352451999
"repressor","unspliced",5324,11774,"XISTint14","p0.05",2.4750603393401e-05,"repressor",31.1381448122587,-2.12397352451999
"activator","spliced",119,679,"XISTint14","p0.05",5.47838458202861e-12,"repressor",14.9122807017544,-12.4387126757291
"repressor","spliced",413,1097,"XISTint14","p0.05",5.47838458202861e-12,"repressor",27.3509933774834,-12.4387126757291
"activator","unspliced",193,16036,"XISTint2","p0.05",0.919772405381189,"",1.1892291576807,-0.0155901194277388
"repressor","unspliced",206,16892,"XISTint2","p0.05",0.919772405381189,"",1.20481927710843,-0.0155901194277388
"activator","spliced",17,782,"XISTint2","p0.05",0.0377933265515766,"activator",2.12765957446809,1.13428209102438
